C”DIGO;GRUPO/FAMILIA (Abrev.);Nome do produto;Bitola;Unidade;PreÁo Unit·rio;Cobre_kg;Aluminio_kg;PVC_kg;Skin_kg;Embalagem_kg;Peso_Total_kg;ObservaÁ„o;PVC_HEPR;Capa_PP_kg;PVC_Atox_kg;PVC_Emb_kg;Etiqueta_un
PP089B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE PP 5X1,5MM PRETO 1KV MAXFIO METRO (BOBINA);5X1,5;M;7,702407895;5,6;0.0;9,9;0.0;0.0;15,5;;0.0;0.0;0.0;0.0;0.0
PP090B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE PP 7X1,5MM PRETO 1KV MAXFIO METRO (BOBINA);7X1,5;M;10,64513158;7,84;0.0;13;0.0;0.0;20,84;;0.0;0.0;0.0;0.0;0.0
PP092B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE PP 6X1,5MM PRETO 1KV MAXFIO METRO (BOBINA);6X1,5;M;9,101710526;6,72;0.0;11;0.0;0.0;17,72;;0.0;0.0;0.0;0.0;0.0
PP093B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE PP 7x1,0MM PRETO 1KV MAXFIO METRO (BOBINA);7x1,0;M;5,869210526;4,2;0.0;8;0.0;0.0;12,2;;0.0;0.0;0.0;0.0;0.0
PP094B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE 3X16,0MM PRETO MAXFIO HEPR 1KV METRO;3X16,0;M;42,78171053;35,8;0.0;23;0.0;0.0;58,8;;0.0;0.0;0.0;0.0;0.0
PP096B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE 2x16,0MM PRETO MAXFIO HEPR 1KV METRO;2x16,0;M;29,54546053;23,9;0.0;21,5;0.0;0.0;45,4;;0.0;0.0;0.0;0.0;0.0
PP097B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE 2X25,0MM PRETO MAXFIO HEPR 1KV METRO;2X25,0;M;44,88363158;35,5;0.0;36,8;0.0;0.0;73,3;;0.0;0.0;0.0;0.0;0.0
PP025B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE PP 4X1,5MM PRETO 1KV MAXFIO METRO (BOBINA);4X1,5;M;6,233245614;4,533333333;0.0;8;0.0;0.0;12,53333333;;0.0;0.0;0.0;0.0;0.0
PP026B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE PP 4X4,0MM PRETO 1KV MAXFIO METRO (BOBINA);4X4,0;M;15,41407895;12,5;0.0;11;0.0;0.0;23,5;;0.0;0.0;0.0;0.0;0.0
PP041B;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO DE CONTROLE PP3X2,5MM PRETO 1KV MAXFIO METRO (BOBINA);3X2,5;M;7,320973684;5,5;0.0;8,2;0.0;0.0;13,7;;0.0;0.0;0.0;0.0;0.0
